KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 36:12	And Timna was concubine to Eliphaz Esau’s son; and she bare to Eliphaz Amalek: these [were] the sons of Adah Esau’s wife.
Genesis 36:13	And these [are] the sons of Reuel; Nahath, and Zerah, Shammah, and Mizzah: these were the sons of Bashemath Esau’s wife.
Genesis 36:14	And these were the sons of Aholibamah, the daughter of Anah the daughter of Zibeon, Esau’s wife: and she bare to Esau Jeush, and Jaalam, and Korah.
Genesis 36:15	These [were] dukes of the sons of Esau: the sons of Eliphaz the firstborn [son] of Esau; duke Teman, duke Omar, duke Zepho, duke Kenaz,
Genesis 36:16	Duke Korah, duke Gatam, [and] duke Amalek: these [are] the dukes [that came] of Eliphaz in the land of Edom; these [were] the sons of Adah.
Genesis 36:17	And these [are] the sons of Reuel Esau’s son; duke Nahath, duke Zerah, duke Shammah, duke Mizzah: these [are] the dukes [that came] of Reuel in the land of Edom; these [are] the sons of Bashemath Esau’s wife.
Genesis 36:18	And these [are] the sons of Aholibamah Esau’s wife; duke Jeush, duke Jaalam, duke Korah: these [were] the dukes [that came] of Aholibamah the daughter of Anah, Esau’s wife.
Genesis 36:19	These [are] the sons of Esau, who [is] Edom, and these [are] their dukes.
Genesis 36:20	These [are] the sons of Seir the Horite, who inhabited the land; Lotan, and Shobal, and Zibeon, and Anah,
Genesis 36:21	And Dishon, and Ezer, and Dishan: these [are] the dukes of the Horites, the children of Seir in the land of Edom.
Genesis 36:22	And the children of Lotan were Hori and Hemam; and Lotan’s sister [was] Timna.
Genesis 36:23	And the children of Shobal [were] these; Alvan, and Manahath, and Ebal, Shepho, and Onam.
Genesis 36:24	And these [are] the children of Zibeon; both Ajah, and Anah: this [was that] Anah that found the mules in the wilderness, as he fed the asses of Zibeon his father.
Genesis 36:25	And the children of Anah [were] these; Dishon, and Aholibamah the daughter of Anah.
Genesis 36:26	And these [are] the children of Dishon; Hemdan, and Eshban, and Ithran, and Cheran.
Genesis 36:27	The children of Ezer [are] these; Bilhan, and Zaavan, and Akan.
Genesis 36:28	The children of Dishan [are] these; Uz, and Aran.
Genesis 36:29	These [are] the dukes [that came] of the Horites; duke Lotan, duke Shobal, duke Zibeon, duke Anah,
Genesis 36:30	Duke Dishon, duke Ezer, duke Dishan: these [are] the dukes [that came] of Hori, among their dukes in the land of Seir.
Genesis 36:31	And these [are] the kings that reigned in the land of Edom, before there reigned any king over the children of Israel.
Genesis 36:32	And Bela the son of Beor reigned in Edom: and the name of his city [was] Dinhabah.
Genesis 36:33	And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
Genesis 36:34	And Jobab died, and Husham of the land of Temani reigned in his stead.
Genesis 36:35	And Husham died, and Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead: and the name of his city [was] Avith.
Genesis 36:36	And Hadad died, and Samlah of Masrekah reigned in his stead.
Genesis 36:37	And Samlah died, and Saul of Rehoboth [by] the river reigned in his stead.
Genesis 36:38	And Saul died, and Baalhanan the son of Achbor reigned in his stead.
Genesis 36:39	And Baalhanan the son of Achbor died, and Hadar reigned in his stead: and the name of his city [was] Pau; and his wife’s name [was] Mehetabel, the daughter of Matred, the daughter of Mezahab.
Genesis 36:40	And these [are] the names of the dukes [that came] of Esau, according to their families, after their places, by their names; duke Timnah, duke Alvah, duke Jetheth,
Genesis 36:41	Duke Aholibamah, duke Elah, duke Pinon,
Genesis 36:42	Duke Kenaz, duke Teman, duke Mibzar,
Genesis 36:43	Duke Magdiel, duke Iram: these [be] the dukes of Edom, according to their habitations in the land of their possession: he [is] Esau the father of the Edomites.
Genesis 37:1	And Jacob dwelt in the land wherein his father was a stranger, in the land of Canaan.
Genesis 37:2	These [are] the generations of Jacob. Joseph, [being] seventeen years old, was feeding the flock with his brethren; and the lad [was] with the sons of Bilhah, and with the sons of Zilpah, his father’s wives: and Joseph brought unto his father their evil report.
Genesis 37:3	Now Israel loved Joseph more than all his children, because he [was] the son of his old age: and he made him a coat of [many] colours.
Genesis 37:4	And when his brethren saw that their father loved him more than all his brethren, they hated him, and could not speak peaceably unto him.
Genesis 37:5	And Joseph dreamed a dream, and he told [it] his brethren: and they hated him yet the more.
Genesis 37:6	And he said unto them, Hear, I pray you, this dream which I have dreamed:
Genesis 37:7	For, behold, we [were] binding sheaves in the field, and, lo, my sheaf arose, and also stood upright; and, behold, your sheaves stood round about, and made obeisance to my sheaf.
Genesis 37:8	And his brethren said to him, Shalt thou indeed reign over us? or shalt thou indeed have dominion over us? And they hated him yet the more for his dreams, and for his words.
Genesis 37:9	And he dreamed yet another dream, and told it his brethren, and said, Behold, I have dreamed a dream more; and, behold, the sun and the moon and the eleven stars made obeisance to me.
Genesis 37:10	And he told [it] to his father, and to his brethren: and his father rebuked him, and said unto him, What [is] this dream that thou hast dreamed? Shall I and thy mother and thy brethren indeed come to bow down ourselves to thee to the earth?
Genesis 37:11	And his brethren envied him; but his father observed the saying.
Genesis 37:12	And his brethren went to feed their father’s flock in Shechem.
Genesis 37:13	And Israel said unto Joseph, Do not thy brethren feed [the flock] in Shechem? come, and I will send thee unto them. And he said to him, Here [am I].
Genesis 37:14	And he said to him, Go, I pray thee, see whether it be well with thy brethren, and well with the flocks; and bring me word again. So he sent him out of the vale of Hebron, and he came to Shechem.
Genesis 37:15	And a certain man found him, and, behold, [he was] wandering in the field: and the man asked him, saying, What seekest thou?
Genesis 37:16	And he said, I seek my brethren: tell me, I pray thee, where they feed [their flocks].
Genesis 37:17	And the man said, They are departed hence; for I heard them say, Let us go to Dothan. And Joseph went after his brethren, and found them in Dothan.
Genesis 37:18	And when they saw him afar off, even before he came near unto them, they conspired against him to slay him.
Genesis 37:19	And they said one to another, Behold, this dreamer cometh.
Genesis 37:20	Come now therefore, and let us slay him, and cast him into some pit, and we will say, Some evil beast hath devoured him: and we shall see what will become of his dreams.
Genesis 37:21	And Reuben heard [it], and he delivered him out of their hands; and said, Let us not kill him.
Genesis 37:22	And Reuben said unto them, Shed no blood, [but] cast him into this pit that [is] in the wilderness, and lay no hand upon him; that he might rid him out of their hands, to deliver him to his father again.
Genesis 37:23	And it came to pass, when Joseph was come unto his brethren, that they stript Joseph out of his coat, [his] coat of [many] colours that [was] on him;
Genesis 37:24	And they took him, and cast him into a pit: and the pit [was] empty, [there was] no water in it.
Genesis 37:25	And they sat down to eat bread: and they lifted up their eyes and looked, and, behold, a company of Ishmeelites came from Gilead with their camels bearing spicery and balm and myrrh, going to carry [it] down to Egypt.
Genesis 37:26	And Judah said unto his brethren, What profit [is it] if we slay our brother, and conceal his blood?
Genesis 37:27	Come, and let us sell him to the Ishmeelites, and let not our hand be upon him; for he [is] our brother [and] our flesh. And his brethren were content.
Genesis 37:28	Then there passed by Midianites merchantmen; and they drew and lifted up Joseph out of the pit, and sold Joseph to the Ishmeelites for twenty [pieces] of silver: and they brought Joseph into Egypt.
Genesis 37:29	And Reuben returned unto the pit; and, behold, Joseph [was] not in the pit; and he rent his clothes.
Genesis 37:30	And he returned unto his brethren, and said, The child [is] not; and I, whither shall I go?
Genesis 37:31	And they took Joseph’s coat, and killed a kid of the goats, and dipped the coat in the blood;
Genesis 37:32	And they sent the coat of [many] colours, and they brought [it] to their father; and said, This have we found: know now whether it [be] thy son’s coat or no.
Genesis 37:33	And he knew it, and said, [It is] my son’s coat; an evil beast hath devoured him; Joseph is without doubt rent in pieces.
Genesis 37:34	And Jacob rent his clothes, and put sackcloth upon his loins, and mourned for his son many days.
Genesis 37:35	And all his sons and all his daughters rose up to comfort him; but he refused to be comforted; and he said, For I will go down into the grave unto my son mourning. Thus his father wept for him.
Genesis 37:36	And the Midianites sold him into Egypt unto Potiphar, an officer of Pharaoh’s, [and] captain of the guard.
Genesis 38:1	And it came to pass at that time, that Judah went down from his brethren, and turned in to a certain Adullamite, whose name [was] Hirah.
Genesis 38:2	And Judah saw there a daughter of a certain Canaanite, whose name [was] Shuah; and he took her, and went in unto her.
Genesis 38:3	And she conceived, and bare a son; and he called his name Er.
Genesis 38:4	And she conceived again, and bare a son; and she called his name Onan.
Genesis 38:5	And she yet again conceived, and bare a son; and called his name Shelah: and he was at Chezib, when she bare him.
Genesis 38:6	And Judah took a wife for Er his firstborn, whose name [was] Tamar.
Genesis 38:7	And Er, Judah’s firstborn, was wicked in the sight of the LORD; and the LORD slew him.
Genesis 38:8	And Judah said unto Onan, Go in unto thy brother’s wife, and marry her, and raise up seed to thy brother.
Genesis 38:9	And Onan knew that the seed should not be his; and it came to pass, when he went in unto his brother’s wife, that he spilled [it] on the ground, lest that he should give seed to his brother.
Genesis 38:10	And the thing which he did displeased the LORD: wherefore he slew him also.
Genesis 38:11	Then said Judah to Tamar his daughter in law, Remain a widow at thy father’s house, till Shelah my son be grown: for he said, Lest peradventure he die also, as his brethren [did]. And Tamar went and dwelt in her father’s house.
Genesis 38:12	And in process of time the daughter of Shuah Judah’s wife died; and Judah was comforted, and went up unto his sheepshearers to Timnath, he and his friend Hirah the Adullamite.
Genesis 38:13	And it was told Tamar, saying, Behold thy father in law goeth up to Timnath to shear his sheep.
Genesis 38:14	And she put her widow’s garments off from her, and covered her with a vail, and wrapped herself, and sat in an open place, which [is] by the way to Timnath; for she saw that Shelah was grown, and she was not given unto him to wife.
Genesis 38:15	When Judah saw her, he thought her [to be] an harlot; because she had covered her face.
Genesis 38:16	And he turned unto her by the way, and said, Go to, I pray thee, let me come in unto thee; (for he knew not that she [was] his daughter in law.) And she said, What wilt thou give me, that thou mayest come in unto me?
Genesis 38:17	And he said, I will send [thee] a kid from the flock. And she said, Wilt thou give [me] a pledge, till thou send [it]?
Genesis 38:18	And he said, What pledge shall I give thee? And she said, Thy signet, and thy bracelets, and thy staff that [is] in thine hand. And he gave [it] her, and came in unto her, and she conceived by him.
Genesis 38:19	And she arose, and went away, and laid by her vail from her, and put on the garments of her widowhood.
Genesis 38:20	And Judah sent the kid by the hand of his friend the Adullamite, to receive [his] pledge from the woman’s hand: but he found her not.
Genesis 38:21	Then he asked the men of that place, saying, Where [is] the harlot, that [was] openly by the way side? And they said, There was no harlot in this [place].
Genesis 38:22	And he returned to Judah, and said, I cannot find her; and also the men of the place said, [that] there was no harlot in this [place].
Genesis 38:23	And Judah said, Let her take [it] to her, lest we be shamed: behold, I sent this kid, and thou hast not found her.
Genesis 38:24	And it came to pass about three months after, that it was told Judah, saying, Tamar thy daughter in law hath played the harlot; and also, behold, she [is] with child by whoredom. And Judah said, Bring her forth, and let her be burnt.
Genesis 38:25	When she [was] brought forth, she sent to her father in law, saying, By the man, whose these [are, am] I with child: and she said, Discern, I pray thee, whose [are] these, the signet, and bracelets, and staff.
Genesis 38:26	And Judah acknowledged [them], and said, She hath been more righteous than I; because that I gave her not to Shelah my son. And he knew her again no more.
Genesis 38:27	And it came to pass in the time of her travail, that, behold, twins [were] in her womb.
Genesis 38:28	And it came to pass, when she travailed, that [the one] put out [his] hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first.
Genesis 38:29	And it came to pass, as he drew back his hand, that, behold, his brother came out: and she said, How hast thou broken forth? [this] breach [be] upon thee: therefore his name was called Pharez.
Genesis 38:30	And afterward came out his brother, that had the scarlet thread upon his hand: and his name was called Zarah.
Genesis 39:1	And Joseph was brought down to Egypt; and Potiphar, an officer of Pharaoh, captain of the guard, an Egyptian, bought him of the hands of the Ishmeelites, which had brought him down thither.
Genesis 39:2	And the LORD was with Joseph, and he was a prosperous man; and he was in the house of his master the Egyptian.
Genesis 39:3	And his master saw that the LORD [was] with him, and that the LORD made all that he did to prosper in his hand.
Genesis 39:4	And Joseph found grace in his sight, and he served him: and he made him overseer over his house, and all [that] he had he put into his hand.
Genesis 39:5	And it came to pass from the time [that] he had made him overseer in his house, and over all that he had, that the LORD blessed the Egyptian’s house for Joseph’s sake; and the blessing of the LORD was upon all that he had in the house, and in the field.
Genesis 39:6	And he left all that he had in Joseph’s hand; and he knew not ought he had, save the bread which he did eat. And Joseph was [a] goodly [person], and well favoured.
Genesis 39:7	And it came to pass after these things, that his master’s wife cast her eyes upon Joseph; and she said, Lie with me.
Genesis 39:8	But he refused, and said unto his master’s wife, Behold, my master wotteth not what [is] with me in the house, and he hath committed all that he hath to my hand;
Genesis 39:9	[There is] none greater in this house than I; neither hath he kept back any thing from me but thee, because thou [art] his wife: how then can I do this great wickedness, and sin against God?
Genesis 39:10	And it came to pass, as she spake to Joseph day by day, that he hearkened not unto her, to lie by her, [or] to be with her.
Genesis 39:11	And it came to pass about this time, that [Joseph] went into the house to do his business; and [there was] none of the men of the house there within.
Genesis 39:12	And she caught him by his garment, saying, Lie with me: and he left his garment in her hand, and fled, and got him out.
Genesis 39:13	And it came to pass, when she saw that he had left his garment in her hand, and was fled forth,
Genesis 39:14	That she called unto the men of her house, and spake unto them, saying, See, he hath brought in an Hebrew unto us to mock us; he came in unto me to lie with me, and I cried with a loud voice:
Genesis 39:15	And it came to pass, when he heard that I lifted up my voice and cried, that he left his garment with me, and fled, and got him out.
Genesis 39:16	And she laid up his garment by her, until his lord came home.
Genesis 39:17	And she spake unto him according to these words, saying, The Hebrew servant, which thou hast brought unto us, came in unto me to mock me:
Genesis 39:18	And it came to pass, as I lifted up my voice and cried, that he left his garment with me, and fled out.
Genesis 39:19	And it came to pass, when his master heard the words of his wife, which she spake unto him, saying, After this manner did thy servant to me; that his wrath was kindled.
Genesis 39:20	And Joseph’s master took him, and put him into the prison, a place where the king’s prisoners [were] bound: and he was there in the prison.
Genesis 39:21	But the LORD was with Joseph, and shewed him mercy, and gave him favour in the sight of the keeper of the prison.
Genesis 39:22	And the keeper of the prison committed to Joseph’s hand all the prisoners that [were] in the prison; and whatsoever they did there, he was the doer [of it].
Genesis 39:23	The keeper of the prison looked not to any thing [that was] under his hand; because the LORD was with him, and [that] which he did, the LORD made [it] to prosper.
Genesis 40:1	And it came to pass after these things, [that] the butler of the king of Egypt and [his] baker had offended their lord the king of Egypt.
Genesis 40:2	And Pharaoh was wroth against two [of] his officers, against the chief of the butlers, and against the chief of the bakers.
Genesis 40:3	And he put them in ward in the house of the captain of the guard, into the prison, the place where Joseph [was] bound.
Genesis 40:4	And the captain of the guard charged Joseph with them, and he served them: and they continued a season in ward.
Genesis 40:5	And they dreamed a dream both of them, each man his dream in one night, each man according to the interpretation of his dream, the butler and the baker of the king of Egypt, which [were] bound in the prison.
Genesis 40:6	And Joseph came in unto them in the morning, and looked upon them, and, behold, they [were] sad.
Genesis 40:7	And he asked Pharaoh’s officers that [were] with him in the ward of his lord’s house, saying, Wherefore look ye [so] sadly to day?
Genesis 40:8	And they said unto him, We have dreamed a dream, and [there is] no interpreter of it. And Joseph said unto them, [Do] not interpretations [belong] to God? tell me [them], I pray you.
Genesis 40:9	And the chief butler told his dream to Joseph, and said to him, In my dream, behold, a vine [was] before me;
Genesis 40:10	And in the vine [were] three branches: and it [was] as though it budded, [and] her blossoms shot forth; and the clusters thereof brought forth ripe grapes:
Genesis 40:11	And Pharaoh’s cup [was] in my hand: and I took the grapes, and pressed them into Pharaoh’s cup, and I gave the cup into Pharaoh’s hand.
Genesis 40:12	And Joseph said unto him, This [is] the interpretation of it: The three branches [are] three days:
Genesis 40:13	Yet within three days shall Pharaoh lift up thine head, and restore thee unto thy place: and thou shalt deliver Pharaoh’s cup into his hand, after the former manner when thou wast his butler.
Genesis 40:14	But think on me when it shall be well with thee, and shew kindness, I pray thee, unto me, and make mention of me unto Pharaoh, and bring me out of this house:
Genesis 40:15	For indeed I was stolen away out of the land of the Hebrews: and here also have I done nothing that they should put me into the dungeon.
Genesis 40:16	When the chief baker saw that the interpretation was good, he said unto Joseph, I also [was] in my dream, and, behold, [I had] three white baskets on my head:
Genesis 40:17	And in the uppermost basket [there was] of all manner of bakemeats for Pharaoh; and the birds did eat them out of the basket upon my head.
Genesis 40:18	And Joseph answered and said, This [is] the interpretation thereof: The three baskets [are] three days:
Genesis 40:19	Yet within three days shall Pharaoh lift up thy head from off thee, and shall hang thee on a tree; and the birds shall eat thy flesh from off thee.
Genesis 40:20	And it came to pass the third day, [which was] Pharaoh’s birthday, that he made a feast unto all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants.
Genesis 40:21	And he restored the chief butler unto his butlership again; and he gave the cup into Pharaoh’s hand:
Genesis 40:22	But he hanged the chief baker: as Joseph had interpreted to them.
Genesis 40:23	Yet did not the chief butler remember Joseph, but forgat him.
Genesis 41:1	And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river.
Genesis 41:2	And, behold, there came up out of the river seven well favoured kine and fatfleshed; and they fed in a meadow.
Genesis 41:3	And, behold, seven other kine came up after them out of the river, ill favoured and leanfleshed; and stood by the [other] kine upon the brink of the river.
Genesis 41:4	And the ill favoured and leanfleshed kine did eat up the seven well favoured and fat kine. So Pharaoh awoke.
Genesis 41:5	And he slept and dreamed the second time: and, behold, seven ears of corn came up upon one stalk, rank and good.
Genesis 41:6	And, behold, seven thin ears and blasted with the east wind sprung up after them.
Genesis 41:7	And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and, behold, [it was] a dream.
Genesis 41:8	And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but [there was] none that could interpret them unto Pharaoh.
Genesis 41:9	Then spake the chief butler unto Pharaoh, saying, I do remember my faults this day:
Genesis 41:10	Pharaoh was wroth with his servants, and put me in ward in the captain of the guard’s house, [both] me and the chief baker:
Genesis 41:11	And we dreamed a dream in one night, I and he; we dreamed each man according to the interpretation of his dream.
Genesis 41:12	And [there was] there with us a young man, an Hebrew, servant to the captain of the guard; and we told him, and he interpreted to us our dreams; to each man according to his dream he did interpret.
Genesis 41:13	And it came to pass, as he interpreted to us, so it was; me he restored unto mine office, and him he hanged.
Genesis 41:14	Then Pharaoh sent and called Joseph, and they brought him hastily out of the dungeon: and he shaved [himself], and changed his raiment, and came in unto Pharaoh.
Genesis 41:15	And Pharaoh said unto Joseph, I have dreamed a dream, and [there is] none that can interpret it: and I have heard say of thee, [that] thou canst understand a dream to interpret it.
Genesis 41:16	And Joseph answered Pharaoh, saying, [It is] not in me: God shall give Pharaoh an answer of peace.
Genesis 41:17	And Pharaoh said unto Joseph, In my dream, behold, I stood upon the bank of the river:
Genesis 41:18	And, behold, there came up out of the river seven kine, fatfleshed and well favoured; and they fed in a meadow:
Genesis 41:19	And, behold, seven other kine came up after them, poor and very ill favoured and leanfleshed, such as I never saw in all the land of Egypt for badness:
Genesis 41:20	And the lean and the ill favoured kine did eat up the first seven fat kine:
Genesis 41:21	And when they had eaten them up, it could not be known that they had eaten them; but they [were] still ill favoured, as at the beginning. So I awoke.
Genesis 41:22	And I saw in my dream, and, behold, seven ears came up in one stalk, full and good:
Genesis 41:23	And, behold, seven ears, withered, thin, [and] blasted with the east wind, sprung up after them:
Genesis 41:24	And the thin ears devoured the seven good ears: and I told [this] unto the magicians; but [there was] none that could declare [it] to me.
Genesis 41:25	And Joseph said unto Pharaoh, The dream of Pharaoh [is] one: God hath shewed Pharaoh what he [is] about to do.
Genesis 41:26	The seven good kine [are] seven years; and the seven good ears [are] seven years: the dream [is] one.
Genesis 41:27	And the seven thin and ill favoured kine that came up after them [are] seven years; and the seven empty ears blasted with the east wind shall be seven years of famine.
Genesis 41:28	This [is] the thing which I have spoken unto Pharaoh: What God [is] about to do he sheweth unto Pharaoh.
Genesis 41:29	Behold, there come seven years of great plenty throughout all the land of Egypt:
Genesis 41:30	And there shall arise after them seven years of famine; and all the plenty shall be forgotten in the land of Egypt; and the famine shall consume the land;
Genesis 41:31	And the plenty shall not be known in the land by reason of that famine following; for it [shall be] very grievous.
Genesis 41:32	And for that the dream was doubled unto Pharaoh twice; [it is] because the thing [is] established by God, and God will shortly bring it to pass.
Genesis 41:33	Now therefore let Pharaoh look out a man discreet and wise, and set him over the land of Egypt.
Genesis 41:34	Let Pharaoh do [this], and let him appoint officers over the land, and take up the fifth part of the land of Egypt in the seven plenteous years.
Genesis 41:35	And let them gather all the food of those good years that come, and lay up corn under the hand of Pharaoh, and let them keep food in the cities.
Genesis 41:36	And that food shall be for store to the land against the seven years of famine, which shall be in the land of Egypt; that the land perish not through the famine.
Genesis 41:37	And the thing was good in the eyes of Pharaoh, and in the eyes of all his servants.
Genesis 41:38	And Pharaoh said unto his servants, Can we find [such a one] as this [is], a man in whom the Spirit of God [is]?
Genesis 41:39	And Pharaoh said unto Joseph, Forasmuch as God hath shewed thee all this, [there is] none so discreet and wise as thou [art]:
Genesis 41:40	Thou shalt be over my house, and according unto thy word shall all my people be ruled: only in the throne will I be greater than thou.
Genesis 41:41	And Pharaoh said unto Joseph, See, I have set thee over all the land of Egypt.
Genesis 41:42	And Pharaoh took off his ring from his hand, and put it upon Joseph’s hand, and arrayed him in vestures of fine linen, and put a gold chain about his neck;
Genesis 41:43	And he made him to ride in the second chariot which he had; and they cried before him, Bow the knee: and he made him [ruler] over all the land of Egypt.
Genesis 41:44	And Pharaoh said unto Joseph, I [am] Pharaoh, and without thee shall no man lift up his hand or foot in all the land of Egypt.
Genesis 41:45	And Pharaoh called Joseph’s name Zaphnathpaaneah; and he gave him to wife Asenath the daughter of Potipherah priest of On. And Joseph went out over [all] the land of Egypt.
Genesis 41:46	And Joseph [was] thirty years old when he stood before Pharaoh king of Egypt. And Joseph went out from the presence of Pharaoh, and went throughout all the land of Egypt.
Genesis 41:47	And in the seven plenteous years the earth brought forth by handfuls.
Genesis 41:48	And he gathered up all the food of the seven years, which were in the land of Egypt, and laid up the food in the cities: the food of the field, which [was] round about every city, laid he up in the same.
Genesis 41:49	And Joseph gathered corn as the sand of the sea, very much, until he left numbering; for [it was] without number.
Genesis 41:50	And unto Joseph were born two sons before the years of famine came, which Asenath the daughter of Potipherah priest of On bare unto him.
Genesis 41:51	And Joseph called the name of the firstborn Manasseh: For God, [said he], hath made me forget all my toil, and all my father’s house.
Genesis 41:52	And the name of the second called he Ephraim: For God hath caused me to be fruitful in the land of my affliction.
Genesis 41:53	And the seven years of plenteousness, that was in the land of Egypt, were ended.
Genesis 41:54	And the seven years of dearth began to come, according as Joseph had said: and the dearth was in all lands; but in all the land of Egypt there was bread.
Genesis 41:55	And when all the land of Egypt was famished, the people cried to Pharaoh for bread: and Pharaoh said unto all the Egyptians, Go unto Joseph; what he saith to you, do.
Genesis 41:56	And the famine was over all the face of the earth: And Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.
Genesis 41:57	And all countries came into Egypt to Joseph for to buy [corn]; because that the famine was [so] sore in all lands.
Genesis 42:1	Now when Jacob saw that there was corn in Egypt, Jacob said unto his sons, Why do ye look one upon another?
Genesis 42:2	And he said, Behold, I have heard that there is corn in Egypt: get you down thither, and buy for us from thence; that we may live, and not die.
Genesis 42:3	And Joseph’s ten brethren went down to buy corn in Egypt.
Genesis 42:4	But Benjamin, Joseph’s brother, Jacob sent not with his brethren; for he said, Lest peradventure mischief befall him.
Genesis 42:5	And the sons of Israel came to buy [corn] among those that came: for the famine was in the land of Canaan.
Genesis 42:6	And Joseph [was] the governor over the land, [and] he [it was] that sold to all the people of the land: and Joseph’s brethren came, and bowed down themselves before him [with] their faces to the earth.
Genesis 42:7	And Joseph saw his brethren, and he knew them, but made himself strange unto them, and spake roughly unto them; and he said unto them, Whence come ye? And they said, From the land of Canaan to buy food.
Genesis 42:8	And Joseph knew his brethren, but they knew not him.
Genesis 42:9	And Joseph remembered the dreams which he dreamed of them, and said unto them, Ye [are] spies; to see the nakedness of the land ye are come.
Genesis 42:10	And they said unto him, Nay, my lord, but to buy food are thy servants come.
Genesis 42:11	We [are] all one man’s sons; we [are] true [men], thy servants are no spies.
Genesis 42:12	And he said unto them, Nay, but to see the nakedness of the land ye are come.
Genesis 42:13	And they said, Thy servants [are] twelve brethren, the sons of one man in the land of Canaan; and, behold, the youngest [is] this day with our father, and one [is] not.
Genesis 42:14	And Joseph said unto them, That [is it] that I spake unto you, saying, Ye [are] spies:
Genesis 42:15	Hereby ye shall be proved: By the life of Pharaoh ye shall not go forth hence, except your youngest brother come hither.
Genesis 42:16	Send one of you, and let him fetch your brother, and ye shall be kept in prison, that your words may be proved, whether [there be any] truth in you: or else by the life of Pharaoh surely ye [are] spies.
Genesis 42:17	And he put them all together into ward three days.
Genesis 42:18	And Joseph said unto them the third day, This do, and live; [for] I fear God:
Genesis 42:19	If ye [be] true [men], let one of your brethren be bound in the house of your prison: go ye, carry corn for the famine of your houses:
Genesis 42:20	But bring your youngest brother unto me; so shall your words be verified, and ye shall not die. And they did so.
Genesis 42:21	And they said one to another, We [are] verily guilty concerning our brother, in that we saw the anguish of his soul, when he besought us, and we would not hear; therefore is this distress come upon us.
Genesis 42:22	And Reuben answered them, saying, Spake I not unto you, saying, Do not sin against the child; and ye would not hear? therefore, behold, also his blood is required.
Genesis 42:23	And they knew not that Joseph understood [them]; for he spake unto them by an interpreter.
Genesis 42:24	And he turned himself about from them, and wept; and returned to them again, and communed with them, and took from them Simeon, and bound him before their eyes.
Genesis 42:25	Then Joseph commanded to fill their sacks with corn, and to restore every man’s money into his sack, and to give them provision for the way: and thus did he unto them.
Genesis 42:26	And they laded their asses with the corn, and departed thence.
Genesis 42:27	And as one of them opened his sack to give his ass provender in the inn, he espied his money; for, behold, it [was] in his sack’s mouth.
Genesis 42:28	And he said unto his brethren, My money is restored; and, lo, [it is] even in my sack: and their heart failed [them], and they were afraid, saying one to another, What [is] this [that] God hath done unto us?
Genesis 42:29	And they came unto Jacob their father unto the land of Canaan, and told him all that befell unto them; saying,
Genesis 42:30	The man, [who is] the lord of the land, spake roughly to us, and took us for spies of the country.
Genesis 42:31	And we said unto him, We [are] true [men]; we are no spies:
Genesis 42:32	We [be] twelve brethren, sons of our father; one [is] not, and the youngest [is] this day with our father in the land of Canaan.
Genesis 42:33	And the man, the lord of the country, said unto us, Hereby shall I know that ye [are] true [men]; leave one of your brethren [here] with me, and take [food for] the famine of your households, and be gone:
Genesis 42:34	And bring your youngest brother unto me: then shall I know that ye [are] no spies, but [that] ye [are] true [men: so] will I deliver you your brother, and ye shall traffick in the land.
Genesis 42:35	And it came to pass as they emptied their sacks, that, behold, every man’s bundle of money [was] in his sack: and when [both] they and their father saw the bundles of money, they were afraid.
Genesis 42:36	And Jacob their father said unto them, Me have ye bereaved [of my children]: Joseph [is] not, and Simeon [is] not, and ye will take Benjamin [away]: all these things are against me.
Genesis 42:37	And Reuben spake unto his father, saying, Slay my two sons, if I bring him not to thee: deliver him into my hand, and I will bring him to thee again.
Genesis 42:38	And he said, My son shall not go down with you; for his brother is dead, and he is left alone: if mischief befall him by the way in the which ye go, then shall ye bring down my gray hairs with sorrow to the grave.
Genesis 43:1	And the famine [was] sore in the land.
Genesis 43:2	And it came to pass, when they had eaten up the corn which they had brought out of Egypt, their father said unto them, Go again, buy us a little food.
Genesis 43:3	And Judah spake unto him, saying, The man did solemnly protest unto us, saying, Ye shall not see my face, except your brother [be] with you.
Genesis 43:4	If thou wilt send our brother with us, we will go down and buy thee food:
Genesis 43:5	But if thou wilt not send [him], we will not go down: for the man said unto us, Ye shall not see my face, except your brother [be] with you.
Genesis 43:6	And Israel said, Wherefore dealt ye [so] ill with me, [as] to tell the man whether ye had yet a brother?
Genesis 43:7	And they said, The man asked us straitly of our state, and of our kindred, saying, [Is] your father yet alive? have ye [another] brother? and we told him according to the tenor of these words: could we certainly know that he would say, Bring your brother down?
Genesis 43:8	And Judah said unto Israel his father, Send the lad with me, and we will arise and go; that we may live, and not die, both we, and thou, [and] also our little ones.
